epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,4159.64,1.23106,0.92786,1.26062,0.74148,0.39827,0.46626,0.34536,1.08274,0.89913,1.23889,0.001585,0.001585,0.001585
172,4179.14,1.2098,0.89683,1.23931,0.72858,0.39947,0.47279,0.35243,1.08529,0.88799,1.25223,0.0015355,0.0015355,0.0015355
173,4197.88,1.19169,0.87261,1.25159,0.73579,0.39678,0.47029,0.34856,1.09077,0.89487,1.24723,0.001486,0.001486,0.001486
174,4216.91,1.1988,0.86484,1.2632,0.73777,0.40076,0.47153,0.34919,1.09063,0.89404,1.25439,0.0014365,0.0014365,0.0014365
175,4235.44,1.22775,0.9193,1.2251,0.69954,0.40799,0.47012,0.34976,1.08533,0.89625,1.2502,0.001387,0.001387,0.001387
176,4254.16,1.17184,0.86544,1.24917,0.70015,0.40745,0.47259,0.3517,1.083,0.89412,1.24834,0.0013375,0.0013375,0.0013375
177,4272.92,1.19168,0.85752,1.24161,0.72514,0.41133,0.47853,0.35495,1.08268,0.87663,1.24068,0.001288,0.001288,0.001288
178,4292.07,1.22544,0.86392,1.24685,0.74697,0.40897,0.48196,0.35859,1.0641,0.87201,1.25039,0.0012385,0.0012385,0.0012385
179,4311.23,1.2027,0.86317,1.24088,0.6875,0.42241,0.47844,0.3553,1.074,0.87275,1.24531,0.001189,0.001189,0.001189
180,4330.33,1.20101,0.87451,1.24208,0.73391,0.4095,0.483,0.36019,1.05935,0.87066,1.25269,0.0011395,0.0011395,0.0011395
181,4349.6,1.18424,0.84993,1.20963,0.735,0.40509,0.4789,0.3557,1.06514,0.8695,1.26187,0.00109,0.00109,0.00109
182,4368.83,1.1996,0.8666,1.22258,0.74505,0.40443,0.47985,0.35521,1.08415,0.87602,1.24627,0.0010405,0.0010405,0.0010405
183,4387.33,1.17098,0.85343,1.22052,0.74092,0.40547,0.475,0.35391,1.0731,0.87635,1.24221,0.000991,0.000991,0.000991
